top,clock_period_ns,fmax_mhz,design__die__area,design__instance__area__stdcell,design__instance__utilization,design__instance__count__stdcell,route__wirelength,power__total,magic__drc_error__count,klayout__drc_error__count,design__lvs_error__count,setup_slack_nom_slow_1p08V_125C,setup_slack_nom_typ_1p20V_25C,setup_slack_nom_fast_1p32V_m40C
engine_infer,20.0,81.36,939222,443933,0.495538,37459,1284083,0.0780504047870636,0,0,0,7.708787604226353,11.712072532204518,14.097609700862611
engine_booth4,20.0,83.01,795523,383415,0.506491,31710,1120339,0.081511490046978,0,0,0,7.952620120861102,11.909450651639872,14.257903705691414
engine_signmag,20.0,69.2,818829,394146,0.506424,33019,1395582,0.07568004727363586,0,0,0,5.54951300620759,10.405083311693236,13.247651350880556
engine_bitserial,20.0,77.32,356166,185463,0.560868,13577,414062,0.03683989495038986,0,0,0,7.067068907881351,11.706451250827255,14.266576768205077
