top,cell_area_um2,critical_path_ns,fmax_mhz,datapath_path_ns,datapath_fmax_mhz,internal_w,switching_w,leakage_w,total_w,cycles_per_tile,energy_per_tile_pj,annotation_coverage
engine_infer,392866.022,30.3848,32.91,10.061,99.39,0.003018438,0.001809153,0.000004901,0.004832493,2.552,246.659,1.0
engine_wallace,403448.774,30.3785,32.92,10.4559,95.64,0.002932156,0.002029313,0.000005020,0.004966490,2.552,253.498,1.0
engine_booth4,328564.253,30.3922,32.9,11.8514,84.38,0.002846161,0.001798801,0.000004176,0.004649137,2.552,237.3,1.0
engine_signmag,386715.168,30.3934,32.9,12.0819,82.77,0.002786022,0.001762833,0.000004767,0.004553623,2.552,232.425,1.0
engine_bitserial,150433.718,66.2402,15.1,12.2363,81.72,0.003276051,0.000922827,0.000001811,0.004200689,9.552,802.507,1.0
